Keyword,volume,difficulty,intent,source,primary_url,secondary_urls,gap,notes
kitesurfing dominican republic,106.0,17,General Info/Other,caribbeankitecruise.com,/guides/caribbean-kite-cruises,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,yes,Target intent: General Info/Other
turks and caicos catamaran,46.854800753685424,29,Commercial (trip/booking),caribbeankitecruise.com,/guides/caribbean-kite-cruises,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,yes,Target intent: Commercial (trip/booking)
kitesurf turks and caicos,39.0,31,Destination/Informational,caribbeankitecruise.com,/guides/caribbean-kite-cruises,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,yes,Target intent: Destination/Informational
kitesurf caribbean,33.0,29,Destination/Informational,caribbeankitecruise.com,/guides/caribbean-kite-cruises,/destinations/antigua|/destinations/greece|/destinations/sardinia|/booking,yes,Target intent: Destination/Informational
kitesurfing caribbean,31.0,29,Destination/Informational,caribbeankitecruise.com,/guides/caribbean-kite-cruises,/destinations/antigua|/destinations/greece|/destinations/sardinia|/booking,yes,Target intent: Destination/Informational
kiteboarding caribbean,31.0,30,Destination/Informational,caribbeankitecruise.com,/guides/caribbean-kite-cruises,/destinations/antigua|/destinations/greece|/destinations/sardinia|/booking,yes,Target intent: Destination/Informational
catamaran cruises caribbean,30.898661494041296,21,Commercial (trip/booking),caribbeankitecruise.com,/guides/caribbean-kite-cruises,/destinations/antigua|/destinations/greece|/destinations/sardinia|/booking,yes,Target intent: Commercial (trip/booking)
barbados kiteboarding season,27.24240561649708,19,Destination/Informational,caribbeankitecruise.com,/guides/caribbean-kite-cruises,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,yes,Target intent: Destination/Informational
north juice 2018 wind range,27.24240561649708,23,Informational (conditions),caribbeankitecruise.com,/guides,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,yes,Target intent: Informational (conditions)
caribbean racing catamaran excursion,27.24240561649708,26,Commercial (trip/booking),caribbeankitecruise.com,/guides/caribbean-kite-cruises,/destinations/antigua|/destinations/greece|/destinations/sardinia|/booking,yes,Target intent: Commercial (trip/booking)
